Dataset,Accuracy,Precision,Recall,F1,Accuracy_Mean,Precision_Mean,Recall_Mean,F1_Mean
Baseline_Aug_HOG,0.9090±0.0094,0.9299±0.0122,0.8850±0.0143,0.9068±0.0098,0.9090359741927594,0.9298628861562405,0.8849816176470588,0.9067749722879398
Baseline_Raw_HOG,0.6482±0.2175,0.6467±0.2713,0.6833±0.2906,0.6475±0.2485,0.6482142857142856,0.6466666666666667,0.6833333333333333,0.6474603174603175
Canny_Aug,0.6254±0.0149,0.6329±0.0145,0.5970±0.0286,0.6142±0.0196,0.6253936827299412,0.6328615209548072,0.5970098039215687,0.6141786406675959
Canny_Raw,0.5482±0.2055,0.5150±0.2595,0.5667±0.3329,0.5221±0.2741,0.5482142857142858,0.5149999999999999,0.5666666666666667,0.522063492063492
Laplacian_Aug,0.8998±0.0168,0.9165±0.0196,0.8803±0.0260,0.8978±0.0175,0.89984634907045,0.9164720105523931,0.8803002450980392,0.8977598761931169
Laplacian_Raw,0.6393±0.1998,0.6000±0.2916,0.6250±0.3656,0.5748±0.2971,0.6392857142857142,0.6,0.625,0.5747619047619048
Prewitt_Aug,0.9014±0.0080,0.9418±0.0141,0.8560±0.0184,0.8967±0.0090,0.9014077024217219,0.9418374171123489,0.8560232843137255,0.8966595316640935
Prewitt_Raw,0.6536±0.1563,0.6533±0.1646,0.6583±0.2673,0.6369±0.1888,0.6535714285714286,0.6533333333333333,0.6583333333333333,0.6369047619047618
Roberts_Aug,0.9251±0.0082,0.9423±0.0122,0.9057±0.0107,0.9236±0.0084,0.925080265410959,0.9423470904640571,0.9057123161764705,0.9236022729938735
Roberts_Raw,0.6643±0.1593,0.6350±0.2690,0.6000±0.2882,0.6031±0.2524,0.6642857142857143,0.635,0.6,0.6030952380952381
Sobel_Aug,0.8846±0.0082,0.9151±0.0161,0.8482±0.0112,0.8803±0.0080,0.8845867477984344,0.9151287298302513,0.8481954656862746,0.8802519839065448
Sobel_Raw,0.6089±0.1691,0.6700±0.2359,0.6000±0.2656,0.5881±0.1759,0.6089285714285715,0.67,0.6,0.588095238095238
