Dataset,Full (14) F1,RFE-Selected F1,Difference,Features Used,Reduction
Canny_Raw,0.5363,0.5363,+0.0000,8/14,42.9%
Canny_Aug,0.6407,0.6441,+0.0034,8/14,42.9%
Sobel_Raw,0.6650,0.6674,+0.0024,8/14,42.9%
Sobel_Aug,0.9380,0.9450,+0.0070,8/14,42.9%
Prewitt_Raw,0.6519,0.6948,+0.0429,8/14,42.9%
Prewitt_Aug,0.9385,0.9452,+0.0067,8/14,42.9%
Laplacian_Raw,0.5707,0.6141,+0.0434,8/14,42.9%
Laplacian_Aug,0.9491,0.9594,+0.0102,8/14,42.9%
Roberts_Raw,0.7158,0.6929,-0.0229,8/14,42.9%
Roberts_Aug,0.9692,0.9786,+0.0093,8/14,42.9%
